bone,species,side,fish,n_lm,proc_dist,centroid,LM1_X,LM1_Y,LM1_Z,LM2_X,LM2_Y,LM2_Z,LM3_X,LM3_Y,LM3_Z,LM4_X,LM4_Y,LM4_Z,LM5_X,LM5_Y,LM5_Z,LM6_X,LM6_Y,LM6_Z,LM7_X,LM7_Y,LM7_Z,LM8_X,LM8_Y,LM8_Z,LM9_X,LM9_Y,LM9_Z,LM10_X,LM10_Y,LM10_Z,LM11_X,LM11_Y,LM11_Z,LM12_X,LM12_Y,LM12_Z
Pectoral fin spine,Huso huso,L,2,7,0.16011364315368876,17.334587296314815,0.01731429680569267,0.11843533116296225,0.015615939651017548,0.035113176031256736,-0.2508393421206009,-0.4672999843149625,-0.15251998629131663,0.14202076922243453,-0.10640888746570623,-0.4997132782797541,-0.35249235518378835,0.15645920963405432,0.2601151205577739,0.0836181769940497,0.03875389997078853,0.158373882081314,0.040827928935158436,0.19516930149400175,0.18131678909503338,0.21842949098978384,0.1677105210308064,,,,,,,,,,,,,,,
Pectoral fin spine,Huso huso,L,3,7,0.11324309544384276,21.087879093686986,0.029714021425971952,0.11397882793178984,0.04448308924242096,0.0631676029087933,-0.19538388799376435,-0.4643078338352376,-0.17164856407418547,0.10448434569263287,-0.10374913804636957,-0.5322497023522117,-0.33762935857312487,0.17171602962400034,0.27687269040968415,0.059601312959148056,0.053110107546236414,0.18287381430748004,0.01741848380044356,0.21174554778981983,0.15127013737446768,0.23753027618287462,0.08700219767912953,,,,,,,,,,,,,,,
Pectoral fin spine,Huso huso,L,4,7,0.16630168268747988,19.834453194874488,0.02097266688690602,0.08609442275255852,0.032187742510975156,0.042336130307513445,-0.18281516504290626,-0.440808771159801,-0.13356557237660857,0.1359224121212687,-0.1183158673086335,-0.5430045659511012,-0.373901539862534,0.17619707569662402,0.28221897919891925,0.06385715269442532,0.04224514891705946,0.16192104149071498,0.06071227878114774,0.2243010817134329,0.16912132044365596,0.21013043855604027,0.08419358963034264,,,,,,,,,,,,,,,
Pectoral fin spine,Huso huso,R,1,7,0.10398540456561196,24.128916989192742,0.0489125034020547,0.07761001890992014,0.05240486881035202,0.0559990275049341,-0.2135758221760174,-0.4747635014081884,-0.17031151320895235,0.11248660562830136,-0.10456825562432308,-0.5227754134282889,-0.3270183723287985,0.16737042293544804,0.2753630411599493,0.09591081580208471,0.022705511656324086,0.15410696392172796,0.016307062853729775,0.22130411411573048,0.15870539064857567,0.23827969131078,0.11554683951465708,,,,,,,,,,,,,,,
Pectoral fin spine,Huso huso,R,2,7,0.18169490047392226,17.92572590625375,0.010006155754842759,0.16342998252171312,0.01585580448672466,0.014207694432824885,-0.2420135335486688,-0.44554992664510246,-0.184641643036102,0.11516748238428495,-0.13447761308425268,-0.4900951709598843,-0.3548968074802402,0.14167858144021878,0.2662047536242056,0.09707941753419959,0.06556262166938961,0.17286090320707667,0.023626699378970478,0.20589271202340817,0.21145730697703666,0.19760675920974208,0.15103782010961417,,,,,,,,,,,,,,,
Pectoral fin spine,Huso huso,R,3,7,0.13583305381186614,22.1121171491855,-0.008846198310585767,0.0982621638961009,0.012625119977398989,0.020178591731245206,-0.18746078043842065,-0.4221151921244178,-0.2167787886598197,0.08214575877922296,-0.16302854499557698,-0.49993109231421745,-0.338956500384733,0.1484093862288635,0.2937258954059011,0.07349556653782893,0.05928573362382687,0.18629458320044168,0.03721001351923185,0.23353130961569032,0.2253570089470348,0.23530377809076838,0.13129218767421513,,,,,,,,,,,,,,,
Pectoral fin spine,Huso huso,R,4,7,0.11551871539845245,21.059829283386424,0.0033711814341279194,0.0924139339766136,0.015139208942203672,0.06261138184137925,-0.20587628413091036,-0.4604840746976329,-0.16916742612637028,0.122229331857033,-0.10965233802087895,-0.5231601614272591,-0.34529133684307955,0.17549948732359466,0.2691444148675506,0.059009038981908124,0.0488481449397412,0.1787751179170743,0.049704690185653,0.20016992258313054,0.17842549149349715,0.2278106259727828,0.13047964892984149,,,,,,,,,,,,,,,
Pectoral fin spine,Sevbel,L,1,7,0.16925747678957986,25.447313116238185,0.0759246281289104,0.0001364617875868924,0.009730329977970856,-0.0011586540552279857,-0.20609623173830416,-0.37955072703199694,-0.2579608512267387,0.1305979595941899,-0.1623760068376159,-0.49384522568124917,-0.3222098672044034,0.11289615411865878,0.2906415940541192,0.10956628472416623,0.05667135455054701,0.21768971116737976,-0.01207869210693115,0.23472291155035543,0.1687087976128066,0.30008408494369543,0.1279059836720808,,,,,,,,,,,,,,,
Pectoral fin spine,Sevbel,R,1,7,0.15517061537963048,25.020352132522696,0.08343277991015187,0.0007520042002848483,0.05941541099841748,0.0889224089314458,-0.17928618147890887,-0.5217206167735091,-0.17941541226034466,0.10683647253079896,-0.10276443595816008,-0.5119785413853568,-0.2795410310772899,0.20306832593430954,0.24270067755814864,0.06549105531548227,0.06108094385525325,0.175066496954277,0.009114080247620136,0.2275482173269605,0.10127159029167769,0.27663360026201306,0.07337215461672851,,,,,,,,,,,,,,,
Posttemporal,Acipenser baerii,L,1,8,0.20659107188641826,48.38878749818065,-0.5433546480178839,-0.013012915513458559,-0.08289960045123024,0.3315644478177519,-0.29163779862430494,0.05865878399480951,0.46731471729362917,-0.10741628721167132,-0.01122835613460044,0.1099633409887949,0.23615121263058325,-0.12307011159994415,-0.0348410244528129,0.17133182076915382,-0.06631639279512863,0.05577280008959336,0.15533367651939228,0.07652379401000901,-0.2579662362937638,-0.04147055208073149,0.14652432566622697,-0.12845339742530887,-0.10927915648896283,0.00180755730985794,,,,,,,,,,,,
